1F590 1F3FF                                            :hand-with-fingers-splayed;skin-tone-d
270B                                                   :raised-hand
270B 1F3FB                                             :raised-hand;skin-tone-l
270B 1F3FC                                             :raised-hand;skin-tone-ml
270B 1F3FD                                             :raised-hand;skin-tone-m
270B 1F3FE                                             :raised-hand;skin-tone-md
270B 1F3FF                                             :raised-hand;skin-tone-d
1F596                                                  :vulcan-salute
1F596 1F3FB                                            :vulcan-salute;skin-tone-l
1F596 1F3FC                                            :vulcan-salute;skin-tone-ml
1F596 1F3FD                                            :vulcan-salute;skin-tone-m
1F596 1F3FE                                            :vulcan-salute;skin-tone-md
1F596 1F3FF                                            :vulcan-salute;skin-tone-d
1F44C                                                  :OK-hand
1F44C 1F3FB                                            :OK-hand;skin-tone-l
1F44C 1F3FC                                            :OK-hand;skin-tone-ml
1F44C 1F3FD                                            :OK-hand;skin-tone-m
1F44C 1F3FE                                            :OK-hand;skin-tone-md
1F44C 1F3FF                                            :OK-hand;skin-tone-d
1F90C                                                  :pinched-fingers
1F90C 1F3FB                                            :pinched-fingers;skin-tone-l
1F90C 1F3FC                                            :pinched-fingers;skin-tone-ml
1F90C 1F3FD                                            :pinched-fingers;skin-tone-m
1F90C 1F3FE                                            :pinched-fingers;skin-tone-md
1F90C 1F3FF                                            :pinched-fingers;skin-tone-d
1F90F                                                  :pinching-hand
1F90F 1F3FB                                            :pinching-hand;skin-tone-l
1F90F 1F3FC                                            :pinching-hand;skin-tone-ml
1F90F 1F3FD                                            :pinching-hand;skin-tone-m
1F90F 1F3FE                                            :pinching-hand;skin-tone-md
1F90F 1F3FF                                            :pinching-hand;skin-tone-d
270C FE0F                                              :victory-hand
270C 1F3FB                                             :victory-hand;skin-tone-l
270C 1F3FC                                             :victory-hand;skin-tone-ml
270C 1F3FD                                             :victory-hand;skin-tone-m
270C 1F3FE                                             :victory-hand;skin-tone-md
270C 1F3FF                                             :victory-hand;skin-tone-d
1F91E                                                  :crossed-fingers
1F91E 1F3FB                                            :crossed-fingers;skin-tone-l
1F91E 1F3FC                                            :crossed-fingers;skin-tone-ml
1F91E 1F3FD                                            :crossed-fingers;skin-tone-m
1F91E 1F3FE                                            :crossed-fingers;skin-tone-md
1F91E 1F3FF                                            :crossed-fingers;skin-tone-d
1F91F                                                  :love-you-gesture
1F91F 1F3FB                                            :love-you-gesture;skin-tone-l
1F91F 1F3FC                                            :love-you-gesture;skin-tone-ml
1F91F 1F3FD                                            :love-you-gesture;skin-tone-m
1F91F 1F3FE                                            :love-you-gesture;skin-tone-md
1F91F 1F3FF                                            :love-you-gesture;skin-tone-d
1F918                                                  :sign-of-the-horns
1F918 1F3FB                                            :sign-of-the-horns;skin-tone-l
1F918 1F3FC                                            :sign-of-the-horns;skin-tone-ml
1F918 1F3FD                                            :sign-of-the-horns;skin-tone-m
1F918 1F3FE                                            :sign-of-the-horns;skin-tone-md
1F918 1F3FF                                            :sign-of-the-horns;skin-tone-d
1F919                                                  :call-me-hand
1F919 1F3FB                                            :call-me-hand;skin-tone-l
1F919 1F3FC                                            :call-me-hand;skin-tone-ml
1F919 1F3FD                                            :call-me-hand;skin-tone-m
1F919 1F3FE                                            :call-me-hand;skin-tone-md
1F919 1F3FF                                            :call-me-hand;skin-tone-d
1F448                                                  :backhand-index-pointing-left
1F448 1F3FB                                            :backhand-index-pointing-left;skin-tone-l
1F448 1F3FC                                            :backhand-index-pointing-left;skin-tone-ml
1F448 1F3FD                                            :backhand-index-pointing-left;skin-tone-m
1F448 1F3FE                                            :backhand-index-pointing-left;skin-tone-md
1F448 1F3FF                                            :backhand-index-pointing-left;skin-tone-d
1F449                                                  :backhand-index-pointing-right
1F449 1F3FB                                            :backhand-index-pointing-right;skin-tone-l
1F449 1F3FC                                            :backhand-index-pointing-right;skin-tone-ml
1F449 1F3FD                                            :backhand-index-pointing-right;skin-tone-m
1F449 1F3FE                                            :backhand-index-pointing-right;skin-tone-md
1F449 1F3FF                                            :backhand-index-pointing-right;skin-tone-d
1F446                                                  :backhand-index-pointing-up
1F446 1F3FB                                            :backhand-index-pointing-up;skin-tone-l
1F446 1F3FC                                            :backhand-index-pointing-up;skin-tone-ml
1F446 1F3FD                                            :backhand-index-pointing-up;skin-tone-m
1F446 1F3FE                                            :backhand-index-pointing-up;skin-tone-md
1F446 1F3FF                                            :backhand-index-pointing-up;skin-tone-d
1F595                                                  :middle-finger
1F595 1F3FB                                            :middle-finger;skin-tone-l
1F595 1F3FC                                            :middle-finger;skin-tone-ml
1F595 1F3FD                                            :middle-finger;skin-tone-m
1F595 1F3FE                                            :middle-finger;skin-tone-md
1F595 1F3FF                                            :middle-finger;skin-tone-d
1F447                                                  :backhand-index-pointing-down
1F447 1F3FB                                            :backhand-index-pointing-down;skin-tone-l
1F447 1F3FC                                            :backhand-index-pointing-down;skin-tone-ml
1F447 1F3FD                                            :backhand-index-pointing-down;skin-tone-m
1F447 1F3FE                                            :backhand-index-pointing-down;skin-tone-md
1F447 1F3FF                                            :backhand-index-pointing-down;skin-tone-d
261D FE0F                                              :index-pointing-up
261D 1F3FB                                             :index-pointing-up;skin-tone-l
261D 1F3FC                                             :index-pointing-up;skin-tone-ml
261D 1F3FD                                             :index-pointing-up;skin-tone-m
261D 1F3FE                                             :index-pointing-up;skin-tone-md
261D 1F3FF                                             :index-pointing-up;skin-tone-d
1F44D                                                  :thumbs-up
1F44D 1F3FB                                            :thumbs-up;skin-tone-l
1F44D 1F3FC                                            :thumbs-up;skin-tone-ml
1F44D 1F3FD                                            :thumbs-up;skin-tone-m
1F44D 1F3FE                                            :thumbs-up;skin-tone-md
1F44D 1F3FF                                            :thumbs-up;skin-tone-d
1F44E                                                  :thumbs-down
1F44E 1F3FB                                            :thumbs-down;skin-tone-l
1F44E 1F3FC                                            :thumbs-down;skin-tone-ml
1F44E 1F3FD                                            :thumbs-down;skin-tone-m
1F44E 1F3FE                                            :thumbs-down;skin-tone-md
1F44E 1F3FF                                            :thumbs-down;skin-tone-d
270A                                                   :raised-fist
270A 1F3FB                                             :raised-fist;skin-tone-l
270A 1F3FC                                             :raised-fist;skin-tone-ml
270A 1F3FD                                             :raised-fist;skin-tone-m
270A 1F3FE                                             :raised-fist;skin-tone-md
270A 1F3FF                                             :raised-fist;skin-tone-d
1F44A                                                  :oncoming-fist
1F44A 1F3FB                                            :oncoming-fist;skin-tone-l
1F44A 1F3FC                                            :oncoming-fist;skin-tone-ml
1F44A 1F3FD                                            :oncoming-fist;skin-tone-m
1F44A 1F3FE                                            :oncoming-fist;skin-tone-md
1F44A 1F3FF                                            :oncoming-fist;skin-tone-d
1F91B                                                  :left-facing-fist
1F91B 1F3FB                                            :left-facing-fist;skin-tone-l
1F91B 1F3FC                                            :left-facing-fist;skin-tone-ml
1F91B 1F3FD                                            :left-facing-fist;skin-tone-m
1F91B 1F3FE                                            :left-facing-fist;skin-tone-md
1F91B 1F3FF                                            :left-facing-fist;skin-tone-d
1F91C                                                  :right-facing-fist
1F91C 1F3FB                                            :right-facing-fist;skin-tone-l
1F91C 1F3FC                                            :right-facing-fist;skin-tone-ml
1F91C 1F3FD                                            :right-facing-fist;skin-tone-m
1F91C 1F3FE                                            :right-facing-fist;skin-tone-md
1F91C 1F3FF                                            :right-facing-fist;skin-tone-d
1F44F                                                  :clapping-hands
1F44F 1F3FB                                            :clapping-hands;skin-tone-l
1F44F 1F3FC                                            :clapping-hands;skin-tone-ml
1F44F 1F3FD                                            :clapping-hands;skin-tone-m
1F44F 1F3FE                                            :clapping-hands;skin-tone-md
1F44F 1F3FF                                            :clapping-hands;skin-tone-d
1F64C                                                  :raising-hands
1F64C 1F3FB                                            :raising-hands;skin-tone-l
1F64C 1F3FC                                            :raising-hands;skin-tone-ml
1F64C 1F3FD                                            :raising-hands;skin-tone-m
1F64C 1F3FE                                            :raising-hands;skin-tone-md
1F64C 1F3FF                                            :raising-hands;skin-tone-d
1F450                                                  :open-hands
1F450 1F3FB                                            :open-hands;skin-tone-l
1F450 1F3FC                                            :open-hands;skin-tone-ml
1F450 1F3FD                                            :open-hands;skin-tone-m
1F450 1F3FE                                            :open-hands;skin-tone-md
1F450 1F3FF                                            :open-hands;skin-tone-d
1F932                                                  :palms-up-together
1F932 1F3FB                                            :palms-up-together;skin-tone-l
1F932 1F3FC                                            :palms-up-together;skin-tone-ml
1F932 1F3FD                                            :palms-up-together;skin-tone-m
1F932 1F3FE                                            :palms-up-together;skin-tone-md
1F932 1F3FF                                            :palms-up-together;skin-tone-d
1F91D                                                  :handshake
1F64F                                                  :folded-hands
1F64F 1F3FB                                            :folded-hands;skin-tone-l
1F64F 1F3FC                                            :folded-hands;skin-tone-ml
1F64F 1F3FD                                            :folded-hands;skin-tone-m
1F64F 1F3FE                                            :folded-hands;skin-tone-md
1F64F 1F3FF                                            :folded-hands;skin-tone-d
270D FE0F                                              :writing-hand
270D 1F3FB                                             :writing-hand;skin-tone-l
270D 1F3FC                                             :writing-hand;skin-tone-ml
270D 1F3FD                                             :writing-hand;skin-tone-m
270D 1F3FE                                             :writing-hand;skin-tone-md
270D 1F3FF                                             :writing-hand;skin-tone-d
1F485                                                  :nail-polish
1F485 1F3FB                                            :nail-polish;skin-tone-l
1F485 1F3FC                                            :nail-polish;skin-tone-ml
1F485 1F3FD                                            :nail-polish;skin-tone-m
1F485 1F3FE                                            :nail-polish;skin-tone-md
1F485 1F3FF                                            :nail-polish;skin-tone-d
1F933                                                  :selfie
1F933 1F3FB                                            :selfie;skin-tone-l
